Date,Value
2024-07-07,38
2024-07-08,49
2024-07-09,36
2024-07-10,54
2024-07-11,43
2024-07-12,60
2024-07-13,51
2024-07-14,44
2024-07-15,39
2024-07-16,41
2024-07-17,32
2024-07-18,34
2024-07-19,60
2024-07-20,36
2024-07-21,42
2024-07-22,57
2024-07-23,53
2024-07-24,52
2024-07-25,57
2024-07-26,46
2024-07-27,41
2024-07-28,48
2024-07-29,49
2024-07-30,49
2024-07-31,48
2024-08-01,47
2024-08-02,59
2024-08-03,66
2024-08-04,42
2024-08-05,43
2024-08-06,28
2024-08-07,72
2024-08-08,48
2024-08-09,53
2024-08-10,41
2024-08-11,34
2024-08-12,41
2024-08-13,37
2024-08-14,54
2024-08-15,54
2024-08-16,48
2024-08-17,48
2024-08-18,54
2024-08-19,38
2024-08-20,52
2024-08-21,54
2024-08-22,52
2024-08-23,57
2024-08-24,36
2024-08-25,35
2024-08-26,46
2024-08-27,41
2024-08-28,38
2024-08-29,30
2024-08-30,35
2024-08-31,43
2024-09-01,40
2024-09-02,45
2024-09-03,48
2024-09-04,33
2024-09-05,48
2024-09-06,49
2024-09-07,45
2024-09-08,45
2024-09-09,43
2024-09-10,53
2024-09-11,55
2024-09-12,44
2024-09-13,54
2024-09-14,51
2024-09-15,61
2024-09-16,47
2024-09-17,45
2024-09-18,51
2024-09-19,40
2024-09-20,47
2024-09-21,47
2024-09-22,62
2024-09-23,47
2024-09-24,37
2024-09-25,40
2024-09-26,38
2024-09-27,56
2024-09-28,54
2024-09-29,31
2024-09-30,30
2024-10-01,62
2024-10-02,53
2024-10-03,46
2024-10-04,52
2024-10-05,68
2024-10-06,71
2024-10-07,49
2024-10-08,49
2024-10-09,41
2024-10-10,37
2024-10-11,47
2024-10-12,57
2024-10-13,38
2024-10-14,45
2024-10-15,40
2024-10-16,60
2024-10-17,71
2024-10-18,42
2024-10-19,37
2024-10-20,47
2024-10-21,51
2024-10-22,43
2024-10-23,38
2024-10-24,48
2024-10-25,53
2024-10-26,47
2024-10-27,54
2024-10-28,47
2024-10-29,52
2024-10-30,37
2024-10-31,43
2024-11-01,55
2024-11-02,59
2024-11-03,59
2024-11-04,37
2024-11-05,41
2024-11-06,44
2024-11-07,56
2024-11-08,51
2024-11-09,56
2024-11-10,56
2024-11-11,40
2024-11-12,41
2024-11-13,51
2024-11-14,41
2024-11-15,56
2024-11-16,56
2024-11-17,44
2024-11-18,43
2024-11-19,42
2024-11-20,48
2024-11-21,46
2024-11-22,41
2024-11-23,60
2024-11-24,45
2024-11-25,39
2024-11-26,46
2024-11-27,45
2024-11-28,46
2024-11-29,35
2024-11-30,58
2024-12-01,34
2024-12-02,39
2024-12-03,55
2024-12-04,41
2024-12-05,99
2024-12-06,66
2024-12-07,56
2024-12-08,74
2024-12-09,157
2024-12-10,61
2024-12-11,54
2024-12-12,58
2024-12-13,60
2024-12-14,55
2024-12-15,63
2024-12-16,47
2024-12-17,94
2024-12-18,59
2024-12-19,55
2024-12-20,56
2024-12-21,38
2024-12-22,48
2024-12-23,42
2024-12-24,50
2024-12-25,36
2024-12-26,29
2024-12-27,69
2024-12-28,57
2024-12-29,55
2024-12-30,68
2024-12-31,59
2025-01-01,70
2025-01-02,61
2025-01-03,62
2025-01-04,67
2025-01-05,45
2025-01-06,70
2025-01-07,89
2025-01-08,78
2025-01-09,51
2025-01-10,58
2025-01-11,37
2025-01-12,50
2025-01-13,67
2025-01-14,47
2025-01-15,40
2025-01-16,44
2025-01-17,53
2025-01-18,56
2025-01-19,45
2025-01-20,55
2025-01-21,58
2025-01-22,49
2025-01-23,51
2025-01-24,44
2025-01-25,44
2025-01-26,47
2025-01-27,60
2025-01-28,52
2025-01-29,42
2025-01-30,42
2025-01-31,52
2025-02-01,51
2025-02-02,53
2025-02-03,78
2025-02-04,94
2025-02-05,90
2025-02-06,66
2025-02-07,63
2025-02-08,58
2025-02-09,59
2025-02-10,63
2025-02-11,56
2025-02-12,47
2025-02-13,38
2025-02-14,44
2025-02-15,36
2025-02-16,46
2025-02-17,34
2025-02-18,42
2025-02-19,30
2025-02-20,40
2025-02-21,30
2025-02-22,29
2025-02-23,29
2025-02-24,22
2025-02-25,37
2025-02-26,34
2025-02-27,32
2025-02-28,28
2025-03-01,31
2025-03-02,42
2025-03-03,29
(blank),
Grand Total,18335
